POL,POD,CON_LEN,CON_HGT,WGT_GRP,BAY,RROW,TIER,GUBUN
TWTPE,CNHKG,40,H,4,6,8,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,10,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,8,84,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,8,82,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,15,18,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,15,16,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,13,16,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,11,16,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,9,16,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,62,7,96,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,62,5,96,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,62,3,96,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,62,1,96,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,58,18,92,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,22,18,90,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,22,18,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,22,17,90,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,16,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,14,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,12,88,MV031012WTWTPE
TWTPE,CNHKG,40,H,4,6,8,86,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,13,96,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,15,94,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,10,1,16,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,10,1,18,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,11,96,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,9,96,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,9,94,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,9,92,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,8,96,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,66,8,94,MV031012WTWTPE
TWTPE,MYPKG,20,N,20,65,17,82,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,50,17,94,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,50,17,92,MV031012WTWTPE
TWTPE,MYPKG,20,N,20,39,8,90,MV031012WTWTPE
TWTPE,MYPKG,40,H,20,38,6,92,MV031012WTWTPE
TWTPE,MYPKG,40,H,20,38,4,92,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,38,2,92,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,26,14,90,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,26,12,92,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,26,12,90,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,26,12,88,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,26,10,90,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,10,5,18,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,6,15,84,MV031012WTWTPE
TWTPE,MYPKG,40,N,20,6,15,82,MV031012WTWTPE
TWTPE,MYPKG,20,N,20,25,18,90,MV031012WTWTPE
CNHKG,MYPKG,40,N,18,10,1,82,MV031012WCNHKG
CNHKG,MYPKG,20,N,18,71,10,18,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,1,86,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,1,88,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,1,90,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,3,82,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,3,84,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,3,86,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,3,88,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,5,82,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,5,84,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,5,86,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,5,88,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,10,5,90,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,82,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,84,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,86,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,88,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,90,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,92,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,34,1,94,MV031012WCNHKG
CNHKG,MYPKG,20,N,18,63,17,94,MV031012WCNHKG
CNHKG,MYPKG,20,N,18,69,16,88,MV031012WCNHKG
CNHKG,MYPKG,20,N,18,69,16,90,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,70,18,82,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,70,18,84,MV031012WCNHKG
CNHKG,MYPKG,40,N,18,70,18,86,MV031012WCNHKG
CNHKG,MYPKG,40,H,18,70,18,88,MV031012WCNHKG
